trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,11,-43.5119051730011,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",20,2,-35.766585445267474,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",20,0,-40.05595088575324,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",20,0,-53.96990038839587,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,0,-104.61606126879028,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
93,False,"{'a': 0.005, 'e': 0.631283645506926}",20,2,-79.70419808423487,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,0,-65.73650257432074,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",20,0,-55.272494821387355,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.005, 'e': 0.62188505646502}",20,0,-46.24788361628496,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",25,0,-116.40985053666653,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",30,5,-79.8718648528268,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",1
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",20,0,-41.777616749257824,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",20,11,-8.263797723545837,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",25,0,-133.97847014090317,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",30,0,-133.12135441746415,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",20,0,-133.8255997684449,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",20,0,-109.60369607580385,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",20,3,14.144978876919085,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",25,0,-77.60444588463794,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",20,0,-32.2314595126108,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",20,0,-33.54772890617034,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",20,0,-70.7889424490639,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.005, 'e': 0.5798417833398464}",25,0,-51.4214100225416,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",1
111,False,"{'a': 0.005, 'e': 0.5769498103804866}",35,5,-115.80855267535381,"{0: 22, 1: 1, 2: 2, 3: 4, 4: 1}",1
112,False,"{'a': 0.005, 'e': 0.574072261196436}",30,0,-139.2751442256845,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
113,False,"{'a': 0.005, 'e': 0.5712090638488149}",20,0,-170.65744772511414,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
114,False,"{'a': 0.005, 'e': 0.5683601467575404}",25,11,-20.39174814822181,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.005, 'e': 0.5655254386995371}",25,0,-56.56521731403352,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.005, 'e': 0.5627048688069557}",30,0,-102.55560184530644,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
117,False,"{'a': 0.005, 'e': 0.559898366565402}",20,7,-43.22333551174554,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
118,False,"{'a': 0.005, 'e': 0.5571058618121739}",20,0,-57.83749520642986,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
119,False,"{'a': 0.005, 'e': 0.5543272847345071}",25,12,-35.338899801469786,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.005, 'e': 0.5515625658678298}",20,0,1.2618854089357976,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.005, 'e': 0.5488116360940265}",25,0,-11.74126692648095,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.005, 'e': 0.5460744266397094}",35,6,-11.324509734100372,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.005, 'e': 0.5433508690744998}",25,0,6.191406299461279,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
124,False,"{'a': 0.005, 'e': 0.5406408953093166}",25,2,-94.2447725605523,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 0}",1
125,False,"{'a': 0.005, 'e': 0.5379444375946745}",30,15,-16.497275491688107,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.005, 'e': 0.5352614285189903}",20,0,-8.190012689181172,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.5325918010068972}",20,0,10.089599016615026,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.005, 'e': 0.5299354883175685}",20,0,-38.827654293715085,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
129,False,"{'a': 0.005, 'e': 0.5272924240430485}",20,0,8.591855953745412,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
130,False,"{'a': 0.005, 'e': 0.5246625421065929}",20,0,-7.3790127260914256,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.005, 'e': 0.522045776761016}",20,0,-110.32822555981957,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.005, 'e': 0.5194420625870482}",20,0,3.455164370600235,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.005, 'e': 0.5168513344916992}",30,0,-110.56123020674102,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
134,False,"{'a': 0.005, 'e': 0.5142735277066319}",30,8,-17.26690534019305,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.005, 'e': 0.5117085777865424}",25,0,-45.43951434707596,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,12,-90.68510675034901,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 2}",1
137,False,"{'a': 0.005, 'e': 0.5066169923655895}",30,0,-10.928006261590056,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.005, 'e': 0.5040902295748255}",25,0,-58.272767029549165,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
139,False,"{'a': 0.005, 'e': 0.5015760690660555}",25,16,-47.465871989749026,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.005, 'e': 0.49907444798513595}",20,0,-6.999979686638924,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.005, 'e': 0.49658530379140947}",20,10,-8.381930438734017,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4941085742561417}",20,0,-44.04943767304677,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.005, 'e': 0.4916441974609651}",20,13,-11.806928211552218,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.005, 'e': 0.48919211179633154}",25,10,12.368254252071125,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.005, 'e': 0.4867522559599717}",20,0,-157.8733966472803,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
146,False,"{'a': 0.005, 'e': 0.48432456895536247}",25,9,-7.052615224701093,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.005, 'e': 0.48190899009020244}",30,0,-81.99955487579419,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
148,False,"{'a': 0.005, 'e': 0.4795054589748941}",30,23,-5.45953
